experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,noise_level,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,recall_pos1,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
EM_f3_s1024_r1_linear_standard,56,3,3,1024,1,linear,standard,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.01,0.5166666666666667,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,5.010871887207031,0.025362253189086914,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f3_s1024_r1_linear_high,57,3,3,1024,1,linear,high,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.611111111111111,0.6818181818181818,0.7,0.5952380952380952,0.75,0.8571428571428571,0.8571428571428571,0.8,0.018181818181818188,4.921751499176025,0.026579618453979492,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
EM_f3_s1024_r1_circular_low,58,3,3,1024,1,circular,low,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.6333333333333334,0.7272727272727273,0.7,0.7857142857142857,1.0,0.5714285714285714,0.5714285714285714,0.7272727272727273,0.027272727272727337,5.325390815734863,0.025487899780273438,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]"
EM_f3_s1024_r1_circular_standard,59,3,3,1024,1,circular,standard,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.7277777777777779,0.6818181818181818,0.8,0.8571428571428572,1.0,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.11818181818181828,5.182358264923096,0.026180744171142578,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 1]"
EM_f3_s1024_r1_circular_high,60,3,3,1024,1,circular,high,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.5944444444444444,1.0,0.8,0.6666666666666666,0.7777777777777778,1.0,1.0,0.875,0.19999999999999996,5.414332866668701,0.02651190757751465,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
EM_f3_s1024_r1_full_low,61,3,3,1024,1,full,low,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.6,0.7272727272727273,0.7,0.7857142857142857,1.0,0.5714285714285714,0.5714285714285714,0.7272727272727273,0.027272727272727337,5.127553701400757,0.026005983352661133,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 1]"
EM_f3_s1024_r1_full_standard,62,3,3,1024,1,full,standard,"['attr_13_3', 'attr_26_2', 'attr_13_2']",100.0,0.7277777777777779,0.6818181818181818,0.8,0.8571428571428572,1.0,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.11818181818181828,5.321676969528198,0.02642655372619629,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 1]"
EM_f3_s1024_r1_full_high,63,3,3,1024,1,full,high,"['attr_13_3', 'attr_26_2', 'attr_13_2']",10.0,0.5944444444444444,1.0,0.8,0.6666666666666666,0.7777777777777778,1.0,1.0,0.875,0.19999999999999996,5.248870611190796,0.026519775390625,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
EM_f3_s1024_r2_linear_low,64,3,3,1024,2,linear,low,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,5.879836797714233,0.02746415138244629,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f3_s1024_r2_linear_standard,65,3,3,1024,2,linear,standard,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,5.964561462402344,0.0262758731842041,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
